Feature,Overall missing percentage,Complete-absence locations,Partial-missingness locations,Good-coverage locations,Fully complete locations,Minimum station missing percentage,Maximum station missing percentage,Station percentage spread,Minimum yearly missing percentage,Maximum yearly missing percentage,Yearly percentage spread,Locations with >=10pp within-station yearly spread,Median within-station yearly spread,Maximum within-station yearly spread,Provisional pattern,Mechanism caveat
Sunshine,48.0098,19,18,12,0,0.0313,100.0,99.9687,0.0,74.1273,74.1273,19,0.8955,100.0,Likely both station and time dependent,"Annual aggregates may reflect station mix; observed patterns do not establish MCAR, MAR, or MNAR."
Evaporation,43.1665,16,19,14,0,0.0313,100.0,99.9687,0.0,66.7169,66.7169,22,3.4294,100.0,Likely both station and time dependent,"Annual aggregates may reflect station mix; observed patterns do not establish MCAR, MAR, or MNAR."
Cloud9am,38.4216,12,24,13,2,0.0,100.0,100.0,0.0,46.7703,46.7703,27,15.3589,100.0,Likely both station and time dependent,"Annual aggregates may reflect station mix; observed patterns do not establish MCAR, MAR, or MNAR."
Cloud3pm,40.8071,12,27,10,1,0.0,100.0,100.0,0.0,54.6793,54.6793,30,30.8556,100.0,Likely both station and time dependent,"Annual aggregates may reflect station mix; observed patterns do not establish MCAR, MAR, or MNAR."
Pressure9am,10.3568,4,5,40,4,0.0,100.0,100.0,0.0,13.3967,13.3967,7,1.3699,100.0,Likely both station and time dependent,"Annual aggregates may reflect station mix; observed patterns do not establish MCAR, MAR, or MNAR."
Pressure3pm,10.3314,4,5,40,5,0.0,100.0,100.0,0.0,13.3743,13.3743,7,1.0959,100.0,Likely both station and time dependent,"Annual aggregates may reflect station mix; observed patterns do not establish MCAR, MAR, or MNAR."
WindDir9am,7.2639,0,18,31,0,0.2659,46.7588,46.4929,0.0,9.0037,9.0037,14,6.0165,67.9452,Likely temporal,"Annual aggregates may reflect station mix; observed patterns do not establish MCAR, MAR, or MNAR."
WindGustDir,7.0989,2,4,43,0,0.1566,100.0,99.8434,0.0,19.9559,19.9559,9,4.7761,100.0,Likely both station and time dependent,"Annual aggregates may reflect station mix; observed patterns do not establish MCAR, MAR, or MNAR."
WindGustSpeed,7.0555,2,4,43,0,0.1566,100.0,99.8434,0.0,19.9119,19.9119,9,4.7761,100.0,Likely both station and time dependent,"Annual aggregates may reflect station mix; observed patterns do not establish MCAR, MAR, or MNAR."
