Year,Record count,Missing target count,Missing target percentage
2007,61,0,0.0
2008,2270,24,1.0573
2009,16789,194,1.1555
2010,16782,363,2.163
2011,15407,281,1.8238
2012,15409,365,2.3687
2013,16415,318,1.9373
2014,17885,485,2.7118
2015,17885,654,3.6567
2016,17934,426,2.3754
2017,8623,157,1.8207
