Feature,Train missing rows,Missing-value treatment,Encoder,Train vocabulary including reserved Missing,Encoded columns,Validation unknown rows,Test unknown rows,Train-only fitted?
Location,0,Explicit Missing category,Train-fitted OneHotEncoder(handle_unknown=ignore),Adelaide | Albany | Albury | AliceSprings | BadgerysCreek | Ballarat | Bendigo | Brisbane | Cairns | Canberra | Cobar | CoffsHarbour | Dartmoor | Darwin | GoldCoast | Hobart | Katherine | Launceston | Melbourne | MelbourneAirport | Mildura | Missing | Moree | MountGambier | MountGinini | Newcastle | Nhil | NorahHead | NorfolkIsland | Nuriootpa | PearceRAAF | Penrith | Perth | PerthAirport | Portland | Richmond | Sale | SalmonGums | Sydney | SydneyAirport | Townsville | Tuggeranong | Uluru | WaggaWagga | Walpole | Watsonia | Williamtown | Witchcliffe | Wollongong | Woomera,50,0,0,True
WindGustDir,6975,Explicit Missing category,Train-fitted OneHotEncoder(handle_unknown=ignore),E | ENE | ESE | Missing | N | NE | NNE | NNW | NW | S | SE | SSE | SSW | SW | W | WNW | WSW,17,0,0,True
WindDir9am,7340,Explicit Missing category,Train-fitted OneHotEncoder(handle_unknown=ignore),E | ENE | ESE | Missing | N | NE | NNE | NNW | NW | S | SE | SSE | SSW | SW | W | WNW | WSW,17,0,0,True
WindDir3pm,2035,Explicit Missing category,Train-fitted OneHotEncoder(handle_unknown=ignore),E | ENE | ESE | Missing | N | NE | NNE | NNW | NW | S | SE | SSE | SSW | SW | W | WNW | WSW,17,0,0,True
RainToday,1007,Explicit Missing category,Train-fitted OneHotEncoder(handle_unknown=ignore),Missing | No | Yes,3,0,0,True
