Date characteristic,Value
Minimum date,2007-11-01
Maximum date,2017-06-25
Calendar years represented,11
Elapsed coverage in years,9.6484
Invalid or missing dates,0
Raw file globally date-ordered,False
Locations internally date-ordered,49 of 49
All locations have the same start/end coverage,False
Distinct location coverage patterns,7
