Missing fields per row,Row count,Row percentage
0,56420,38.7873
1,10909,7.4997
2,18346,12.6124
3,9782,6.7249
4,28675,19.7133
5,4141,2.8468
6,10229,7.0322
7,2277,1.5654
8,1072,0.737
9,492,0.3382
10,328,0.2255
11,719,0.4943
12,781,0.5369
13,617,0.4242
14,75,0.0516
15,82,0.0564
16,59,0.0406
17,107,0.0736
18,56,0.0385
19,96,0.066
20,15,0.0103
21,182,0.1251
